Regras de tamanho 2, ou seja 1 elemento no antecedente e 1 no consequente da regra, com minsup=0.0 e minconf=0.01

C:\Users\Lucas\AppData\Local\Programs\Python\Python36-32\python.exe C:/Users/Lucas/PycharmProjects/machine_learning/machineLearning.py
{SP_Width: 2.7} -> {PT_Width: 1.3} (conf: 0.111, supp: 0.007, lift: 1.282, conv: 1.027)
{PT_Width: 1.3} -> {SP_Width: 2.7} (conf: 0.077, supp: 0.007, lift: 1.282, conv: 1.018)
{SP_Length: 5.8} -> {Class: Iris-versicolor} (conf: 0.429, supp: 0.020, lift: 1.286, conv: 1.167)
{Class: Iris-versicolor} -> {SP_Length: 5.8} (conf: 0.060, supp: 0.020, lift: 1.286, conv: 1.014)
{SP_Width: 2.8} -> {Class: Iris-versicolor} (conf: 0.429, supp: 0.040, lift: 1.286, conv: 1.167)
{Class: Iris-versicolor} -> {SP_Width: 2.8} (conf: 0.120, supp: 0.040, lift: 1.286, conv: 1.030)
{SP_Length: 5.8} -> {Class: Iris-virginica} (conf: 0.429, supp: 0.020, lift: 1.286, conv: 1.167)
{Class: Iris-virginica} -> {SP_Length: 5.8} (conf: 0.060, supp: 0.020, lift: 1.286, conv: 1.014)
{SP_Width: 2.7} -> {Class: Iris-virginica} (conf: 0.444, supp: 0.027, lift: 1.333, conv: 1.200)
{Class: Iris-virginica} -> {SP_Width: 2.7} (conf: 0.080, supp: 0.027, lift: 1.333, conv: 1.022)
{SP_Length: 5.7} -> {PT_Legth: 1.5} (conf: 0.125, supp: 0.007, lift: 1.339, conv: 1.036)
{PT_Legth: 1.5} -> {SP_Length: 5.7} (conf: 0.071, supp: 0.007, lift: 1.339, conv: 1.019)
{PT_Width: 0.2} -> {PT_Legth: 1.7} (conf: 0.036, supp: 0.007, lift: 1.339, conv: 1.009)
{PT_Legth: 1.7} -> {PT_Width: 0.2} (conf: 0.250, supp: 0.007, lift: 1.339, conv: 1.084)
{SP_Width: 2.8} -> {PT_Legth: 4.5} (conf: 0.071, supp: 0.007, lift: 1.339, conv: 1.019)
{PT_Legth: 4.5} -> {SP_Width: 2.8} (conf: 0.125, supp: 0.007, lift: 1.339, conv: 1.036)
{SP_Width: 2.8} -> {PT_Width: 1.4} (conf: 0.071, supp: 0.007, lift: 1.339, conv: 1.019)
{PT_Width: 1.4} -> {SP_Width: 2.8} (conf: 0.125, supp: 0.007, lift: 1.339, conv: 1.036)
{SP_Width: 3.0} -> {Class: Iris-virginica} (conf: 0.462, supp: 0.080, lift: 1.385, conv: 1.238)
{Class: Iris-virginica} -> {SP_Width: 3.0} (conf: 0.240, supp: 0.080, lift: 1.385, conv: 1.088)
{SP_Width: 2.7} -> {PT_Width: 1.8} (conf: 0.111, supp: 0.007, lift: 1.389, conv: 1.035)
{PT_Width: 1.8} -> {SP_Width: 2.7} (conf: 0.083, supp: 0.007, lift: 1.389, conv: 1.025)
{SP_Width: 3.4} -> {SP_Length: 5.1} (conf: 0.083, supp: 0.007, lift: 1.389, conv: 1.025)
{SP_Length: 5.1} -> {SP_Width: 3.4} (conf: 0.111, supp: 0.007, lift: 1.389, conv: 1.035)
{SP_Width: 3.4} -> {SP_Length: 6.3} (conf: 0.083, supp: 0.007, lift: 1.389, conv: 1.025)
{SP_Length: 6.3} -> {SP_Width: 3.4} (conf: 0.111, supp: 0.007, lift: 1.389, conv: 1.035)
{SP_Width: 3.0} -> {PT_Legth: 1.4} (conf: 0.115, supp: 0.020, lift: 1.442, conv: 1.040)
{PT_Legth: 1.4} -> {SP_Width: 3.0} (conf: 0.250, supp: 0.020, lift: 1.442, conv: 1.102)
{SP_Width: 3.0} -> {PT_Legth: 4.4} (conf: 0.038, supp: 0.007, lift: 1.442, conv: 1.012)
{PT_Legth: 4.4} -> {SP_Width: 3.0} (conf: 0.250, supp: 0.007, lift: 1.442, conv: 1.102)
{PT_Width: 1.3} -> {PT_Legth: 4.5} (conf: 0.077, supp: 0.007, lift: 1.442, conv: 1.026)
{PT_Legth: 4.5} -> {PT_Width: 1.3} (conf: 0.125, supp: 0.007, lift: 1.442, conv: 1.044)
{SP_Width: 3.0} -> {PT_Legth: 4.5} (conf: 0.077, supp: 0.013, lift: 1.442, conv: 1.026)
{PT_Legth: 4.5} -> {SP_Width: 3.0} (conf: 0.250, supp: 0.013, lift: 1.442, conv: 1.102)
{SP_Width: 3.2} -> {PT_Legth: 4.5} (conf: 0.077, supp: 0.007, lift: 1.442, conv: 1.026)
{PT_Legth: 4.5} -> {SP_Width: 3.2} (conf: 0.125, supp: 0.007, lift: 1.442, conv: 1.044)
{SP_Width: 3.0} -> {PT_Legth: 4.8} (conf: 0.038, supp: 0.007, lift: 1.442, conv: 1.012)
{PT_Legth: 4.8} -> {SP_Width: 3.0} (conf: 0.250, supp: 0.007, lift: 1.442, conv: 1.102)
{SP_Width: 3.0} -> {PT_Legth: 5.0} (conf: 0.038, supp: 0.007, lift: 1.442, conv: 1.012)
{PT_Legth: 5.0} -> {SP_Width: 3.0} (conf: 0.250, supp: 0.007, lift: 1.442, conv: 1.102)
{SP_Width: 3.2} -> {PT_Legth: 5.1} (conf: 0.077, supp: 0.007, lift: 1.442, conv: 1.026)
{PT_Legth: 5.1} -> {SP_Width: 3.2} (conf: 0.125, supp: 0.007, lift: 1.442, conv: 1.044)
{SP_Width: 2.5} -> {PT_Width: 1.3} (conf: 0.125, supp: 0.007, lift: 1.442, conv: 1.044)
{PT_Width: 1.3} -> {SP_Width: 2.5} (conf: 0.077, supp: 0.007, lift: 1.442, conv: 1.026)
{SP_Width: 3.0} -> {PT_Width: 1.4} (conf: 0.077, supp: 0.013, lift: 1.442, conv: 1.026)
{PT_Width: 1.4} -> {SP_Width: 3.0} (conf: 0.250, supp: 0.013, lift: 1.442, conv: 1.102)
{SP_Width: 3.2} -> {PT_Width: 1.4} (conf: 0.077, supp: 0.007, lift: 1.442, conv: 1.026)
{PT_Width: 1.4} -> {SP_Width: 3.2} (conf: 0.125, supp: 0.007, lift: 1.442, conv: 1.044)
{SP_Width: 3.0} -> {PT_Width: 1.5} (conf: 0.115, supp: 0.020, lift: 1.442, conv: 1.040)
{PT_Width: 1.5} -> {SP_Width: 3.0} (conf: 0.250, supp: 0.020, lift: 1.442, conv: 1.102)
{SP_Width: 3.0} -> {PT_Width: 1.6} (conf: 0.038, supp: 0.007, lift: 1.442, conv: 1.012)
{PT_Width: 1.6} -> {SP_Width: 3.0} (conf: 0.250, supp: 0.007, lift: 1.442, conv: 1.102)
{SP_Width: 3.0} -> {PT_Width: 2.3} (conf: 0.077, supp: 0.013, lift: 1.442, conv: 1.026)
{PT_Width: 2.3} -> {SP_Width: 3.0} (conf: 0.250, supp: 0.013, lift: 1.442, conv: 1.102)
{SP_Width: 3.0} -> {SP_Length: 6.7} (conf: 0.077, supp: 0.013, lift: 1.442, conv: 1.026)
{SP_Length: 6.7} -> {SP_Width: 3.0} (conf: 0.250, supp: 0.013, lift: 1.442, conv: 1.102)
{SP_Width: 3.0} -> {SP_Length: 7.7} (conf: 0.038, supp: 0.007, lift: 1.442, conv: 1.012)
{SP_Length: 7.7} -> {SP_Width: 3.0} (conf: 0.250, supp: 0.007, lift: 1.442, conv: 1.102)
{PT_Legth: 4.8} -> {Class: Iris-versicolor} (conf: 0.500, supp: 0.013, lift: 1.500, conv: 1.333)
{Class: Iris-versicolor} -> {PT_Legth: 4.8} (conf: 0.040, supp: 0.013, lift: 1.500, conv: 1.014)
{PT_Width: 1.7} -> {Class: Iris-versicolor} (conf: 0.500, supp: 0.007, lift: 1.500, conv: 1.333)
{Class: Iris-versicolor} -> {PT_Width: 1.7} (conf: 0.020, supp: 0.007, lift: 1.500, conv: 1.007)
{SP_Length: 6.2} -> {Class: Iris-versicolor} (conf: 0.500, supp: 0.013, lift: 1.500, conv: 1.333)
{Class: Iris-versicolor} -> {SP_Length: 6.2} (conf: 0.040, supp: 0.013, lift: 1.500, conv: 1.014)
{SP_Width: 2.5} -> {Class: Iris-versicolor} (conf: 0.500, supp: 0.027, lift: 1.500, conv: 1.333)
{Class: Iris-versicolor} -> {SP_Width: 2.5} (conf: 0.080, supp: 0.027, lift: 1.500, conv: 1.029)
{PT_Legth: 4.8} -> {Class: Iris-virginica} (conf: 0.500, supp: 0.013, lift: 1.500, conv: 1.333)
{Class: Iris-virginica} -> {PT_Legth: 4.8} (conf: 0.040, supp: 0.013, lift: 1.500, conv: 1.014)
{PT_Width: 1.7} -> {Class: Iris-virginica} (conf: 0.500, supp: 0.007, lift: 1.500, conv: 1.333)
